title,authors,doi,year,source,url
Semantics of Data Mining Services in Cloud Computing,Parra-Royon M.,10.1109/TSC.2020.2966607,2022-01-01,IEEE Transactions on Services Computing,https://api.elsevier.com/content/abstract/scopus_id/85128472118
ARISE: Artificial Intelligence Semantic Search Engine,Di Biasi L.,10.1007/978-3-031-23929-8_18,2022-01-01,Communications in Computer and Information Science,https://api.elsevier.com/content/abstract/scopus_id/85148693469
A Federative Access Control in a Cloud Environment with a Publish/Subscribe Protocol,Saidi A.,10.3844/jcssp.2022.955.967,2022-01-01,Journal of Computer Science,https://api.elsevier.com/content/abstract/scopus_id/85140028530
CSMRS: An Efficient and Effective Semantic-aware Ranked Search Scheme over Encrypted Cloud Data,Hu Z.,10.1109/CSCWD54268.2022.9776064,2022-01-01,2022 IEEE 25th International Conference on Computer Supported Cooperative Work in Design Cscwd 2022,https://api.elsevier.com/content/abstract/scopus_id/85130802652
The Integration and Optimization of British and American Literary Information Resources Based on Web 3.0,Ling M.,10.1007/978-3-031-05484-6_83,2022-01-01,Lecture Notes on Data Engineering and Communications Technologies,https://api.elsevier.com/content/abstract/scopus_id/85132822435
RDF query path optimization using hybrid genetic algorithms: Semantic web vs. data-intensive cloud computing,Ilyas Q.M.,10.4018/IJCAC.2022010101,2022-01-01,International Journal of Cloud Applications and Computing,https://api.elsevier.com/content/abstract/scopus_id/85119061041
Research on Security Awareness to Protect Data Through Ontology and Cloud Computing,Kiran G.M.,10.1007/978-981-16-1338-8_4,2022-01-01,Lecture Notes in Electrical Engineering,https://api.elsevier.com/content/abstract/scopus_id/85120521751
Multi-dimensional and Accurate Instructional Design of Pedagogy Major Network Courses Based on Random Semantic Understanding Technology,Ge D.,10.1109/ICCBE56101.2022.9888189,2022-01-01,Proceedings of the International Conference on Computation Big Data and Engineering 2022 Iccbe 2022,https://api.elsevier.com/content/abstract/scopus_id/85139390402
"""SAVIO"": Benefits and Issues of Cloud Computing for Public Government",De Luca E.W.,,2022-01-01,Ceur Workshop Proceedings,https://api.elsevier.com/content/abstract/scopus_id/85150689140
Cloud-WSDL: Making WSDL Suitable for Cloud Computing,Ghazouani S.,10.1007/978-3-030-96140-4_1,2022-01-01,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,https://api.elsevier.com/content/abstract/scopus_id/85126225294
Digitalization and Integration Cloud Solutions for Healthcare Information Systems,Gorvunova V.,10.1109/SUMMA57301.2022.9973961,2022-01-01,Proceedings 2022 4th International Conference on Control Systems Mathematical Modeling Automation and Energy Efficiency Summa 2022,https://api.elsevier.com/content/abstract/scopus_id/85146112813
"Functional Genomics Platform, A Cloud-Based Platform for Studying Microbial Life at Scale",Seabolt E.E.,10.1109/TCBB.2020.3021231,2022-01-01,IEEE ACM Transactions on Computational Biology and Bioinformatics,https://api.elsevier.com/content/abstract/scopus_id/85101154874
Efficient Cloud Orchestration Services in Computing,Tiwari A.,10.1007/978-981-19-2828-4_66,2022-01-01,Lecture Notes in Electrical Engineering,https://api.elsevier.com/content/abstract/scopus_id/85138798580
Intelligent System for Customizing Evaluation Activities Implemented in Virtual Learning Environments: Experiments and Results,Silva Lopez R.B.,10.13053/CyS-26-1-4182,2022-01-01,Computacion Y Sistemas,https://api.elsevier.com/content/abstract/scopus_id/85130854325
Industry-University-Research Collaborative Information Sharing Cloud Platform Assisting Human Decentralization Algorithm for Cross-border E-Commerce,Zhao R.,10.1109/ICIRCA54612.2022.9985685,2022-01-01,4th International Conference on Inventive Research in Computing Applications Icirca 2022 Proceedings,https://api.elsevier.com/content/abstract/scopus_id/85146488847
Ontological Models as Components of the Decision Support Subsystem in Monitoring and Forecasting Systems of Hazardous Processes and Natural Phenomena of Coastal Infrastructure,Safronenkova I.B.,10.1007/978-3-031-09076-9_19,2022-01-01,Lecture Notes in Networks and Systems,https://api.elsevier.com/content/abstract/scopus_id/85135026840
Ontology-Based Privacy Data Chain Disclosure Discovery Method for Big Data,Ke C.,10.1109/TSC.2019.2921583,2022-01-01,IEEE Transactions on Services Computing,https://api.elsevier.com/content/abstract/scopus_id/85114162346
Deep knowledge-aware framework for web service recommendation,Dang D.,10.1007/s11227-021-03832-2,2021-12-01,Journal of Supercomputing,https://api.elsevier.com/content/abstract/scopus_id/85105866865
A web GIS-based integration of 3D digital models with linked open data for cultural heritage exploration,Nishanbaev I.,10.3390/ijgi10100684,2021-10-01,ISPRS International Journal of Geo Information,https://api.elsevier.com/content/abstract/scopus_id/85117511161
AIoT-Cloud-Integrated Smart Livestock Surveillance via Assembling Deep Networks with Considering Robustness and Semantics Availability,Su W.T.,10.1109/LRA.2021.3090453,2021-10-01,IEEE Robotics and Automation Letters,https://api.elsevier.com/content/abstract/scopus_id/85112282553
Cross-Dimension Mining Model of Public Opinion Data in Online Education Based on Fuzzy Association Rules,Li L.x.,10.1007/s11036-021-01769-7,2021-10-01,Mobile Networks and Applications,https://api.elsevier.com/content/abstract/scopus_id/85105454619
"Secure Cloud EHR with Semantic Access Control, Searchable Encryption and Attribute Revocation",Walid R.,10.1109/ICDH52753.2021.00016,2021-09-01,Proceedings 2021 IEEE International Conference on Digital Health Icdh 2021,https://api.elsevier.com/content/abstract/scopus_id/85119525695
A new cloud-based classification methodology (CBCM) for efficient semantic web service discovery,Alshafaey M.S.,10.1007/s10586-021-03245-z,2021-09-01,Cluster Computing,https://api.elsevier.com/content/abstract/scopus_id/85103173595
A data-driven architecture using natural language processing to improve phenotyping efficiency and accelerate genetic diagnoses of rare disorders,Parikh J.R.,10.1016/j.xhgg.2021.100035,2021-07-08,Human Genetics and Genomics Advances,https://api.elsevier.com/content/abstract/scopus_id/85120474170
A hybrid multiprocessing computing service decision making using ontology system,Tiwari A.,10.4018/IJWLTT.20210701.oa6,2021-07-01,International Journal of Web Based Learning and Teaching Technologies,https://api.elsevier.com/content/abstract/scopus_id/85106859416
Towards an intelligent framework for cloud service discovery,Ali A.M.,10.4018/IJCAC.2021070103,2021-07-01,International Journal of Cloud Applications and Computing,https://api.elsevier.com/content/abstract/scopus_id/85118308370
Intelligent Management of Higher Vocational Building Training Based on the New Generation of Information Technology,Chen Y.,10.1109/ICET52293.2021.9563175,2021-06-18,2021 IEEE International Conference on Educational Technology ICET 2021,https://api.elsevier.com/content/abstract/scopus_id/85118190628
MIDAS-OWL: An Ontology for Interoperability between Data and Service Cloud Layers,Ribeiro E.L.F.,10.1145/3466933.3466953,2021-06-07,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85110349169
A care knowledge management system based on an ontological model of caring for people with dementia: Knowledge representation and development study,Kim G.,10.2196/25968,2021-06-01,Journal of Medical Internet Research,https://api.elsevier.com/content/abstract/scopus_id/85107846051
Formal Semantic Model for Mobile Cloud Service System,Chen Q.,10.1145/3469213.3470326,2021-05-28,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85113434519
A Multi-semantic Knowledge Graph Construction Scheme Suitable for Intelligent Power Customer Service,Zhang D.,10.1145/3474198.3478153,2021-05-21,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85122643190
Classy AA-NECTAR: Personalized Ubiquitous E-Learning Recommender System with Ontology and Data Science Techniques,Tahir A.,10.1109/ICoDT252288.2021.9441481,2021-05-20,2021 International Conference on Digital Futures and Transformative Technologies Icodt2 2021,https://api.elsevier.com/content/abstract/scopus_id/85107665829
Semantic-based Compound Keyword Search over Encrypted Cloud Data,Lang B.,10.1109/TSC.2018.2847318,2021-05-01,IEEE Transactions on Services Computing,https://api.elsevier.com/content/abstract/scopus_id/85048559753
A novel model for cloud computing analytics and measurement,Shams A.,10.12720/jait.12.2.93-106,2021-05-01,Journal of Advances in Information Technology,https://api.elsevier.com/content/abstract/scopus_id/85104332823
Detection of malicious Android applications using Ontology-based intelligent model in mobile cloud environment,Jannath J.N.,10.1016/j.jisa.2021.102751,2021-05-01,Journal of Information Security and Applications,https://api.elsevier.com/content/abstract/scopus_id/85100263397
STAGER: Semantic-Based Framework for Generating Adapters of Service-Based Generic-API for Portable Cloud Applications,Hossny E.,10.1109/TSC.2018.2831204,2021-05-01,IEEE Transactions on Services Computing,https://api.elsevier.com/content/abstract/scopus_id/85054609391
Research on the Knowledge Graph Construction for Flipped Classroom,Li Y.,10.1109/ICCCBDA51879.2021.9442516,2021-04-24,2021 IEEE 6th International Conference on Cloud Computing and Big Data Analytics Icccbda 2021,https://api.elsevier.com/content/abstract/scopus_id/85107634179
Construction and Application of Knowledge Graph for Commanders of Synthetic Brigade,Wang H.,10.1109/ICCCBDA51879.2021.9442563,2021-04-24,2021 IEEE 6th International Conference on Cloud Computing and Big Data Analytics Icccbda 2021,https://api.elsevier.com/content/abstract/scopus_id/85107659912
Overview of Knowledge Graph Completion Algorithms Based on Representation Learning,Zhou Y.,10.1109/ICCCBDA51879.2021.9442554,2021-04-24,2021 IEEE 6th International Conference on Cloud Computing and Big Data Analytics Icccbda 2021,https://api.elsevier.com/content/abstract/scopus_id/85107655449
A Novel Semantic User Operation Restoration from Massive Web URL Log,Feng B.,10.1109/ICCCBDA51879.2021.9442502,2021-04-24,2021 IEEE 6th International Conference on Cloud Computing and Big Data Analytics Icccbda 2021,https://api.elsevier.com/content/abstract/scopus_id/85107648805
Scientific Measurement and Visualization Analysis of International Omni-channel Retailing Research (2011-2020)-Research on Knowledge Graph-Based on Co-word Analysis,Chen X.,10.1088/1742-6596/1861/1/012078,2021-04-09,Journal of Physics Conference Series,https://api.elsevier.com/content/abstract/scopus_id/85104195420
Semantic Coordination on the Edge of Heterogeneous Ultra Dense Networks,Nejkovic V.,10.1007/s10922-020-09576-3,2021-04-01,Journal of Network and Systems Management,https://api.elsevier.com/content/abstract/scopus_id/85099495517
The pharmacological mechanism of Huashi Baidu Formula for the treatment of COVID-19 by combined network pharmacology and molecular docking,Cai Y.,10.21037/apm-20-1759,2021-04-01,Annals of Palliative Medicine,https://api.elsevier.com/content/abstract/scopus_id/85106538530
Cloud computing and semantic web technologies for ubiquitous management of smart cities-related competences,Iatrellis O.,10.1007/s10639-020-10351-9,2021-03-01,Education and Information Technologies,https://api.elsevier.com/content/abstract/scopus_id/85091955956
An overview of biomedical platforms for managing research data,Navale V.,10.1007/s42488-020-00040-0,2021-03-01,Journal of Data Information and Management,https://api.elsevier.com/content/abstract/scopus_id/85126766030
Research on Hybrid Index Method of Double-Layer B+ Tree for Power Big Data Considering Knowledge Graph,Gao L.C.,10.1088/1742-6596/1771/1/012004,2021-02-25,Journal of Physics Conference Series,https://api.elsevier.com/content/abstract/scopus_id/85102439210
A fault diagnosis and visualization method for high-speed train based on edge and cloud collaboration,Zhang K.,10.3390/app11031251,2021-02-01,Applied Sciences Switzerland,https://api.elsevier.com/content/abstract/scopus_id/85100388476
Efficiency of Semantic Web Implementation on Cloud Computing: A Review,Taher K.I.,10.48161/qaj.v1n3a72,2021-01-23,Qubahan Academic Journal,https://api.elsevier.com/content/abstract/scopus_id/85140831268
Blockchain-as-a-Service Powered Knowledge Graph Construction,Li Y.,10.1007/978-3-030-82153-1_41,2021-01-01,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,https://api.elsevier.com/content/abstract/scopus_id/85113799754
Knowledge Graphs Meet Crowdsourcing: A Brief Survey,Cao M.,10.1007/978-3-030-69992-5_1,2021-01-01,Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering Lnicst,https://api.elsevier.com/content/abstract/scopus_id/85102629150
Modeling Big Data-centric Services using Knowledge Graphs,Ghedass F.,10.1109/AICCSA53542.2021.9686922,2021-01-01,Proceedings of IEEE ACS International Conference on Computer Systems and Applications Aiccsa,https://api.elsevier.com/content/abstract/scopus_id/85125643947
A Garbage Detection and Classification Method Based on Visual Scene Understanding in the Home Environment,Wu Y.,10.1155/2021/1055604,2021-01-01,Complexity,https://api.elsevier.com/content/abstract/scopus_id/85120806297
Delegated Authorization Framework for EHR Services Using Attribute-Based Encryption,Joshi M.,10.1109/TSC.2019.2917438,2021-01-01,IEEE Transactions on Services Computing,https://api.elsevier.com/content/abstract/scopus_id/85065980587
Semantic Web and Business Intelligence in Big-Data and Cloud Computing Era,Hussain A.A.,10.1007/978-3-030-66840-2_107,2021-01-01,Lecture Notes in Networks and Systems,https://api.elsevier.com/content/abstract/scopus_id/85102634626
Privacy-Guarding Optimal Route Finding with Support for Semantic Search on Encrypted Graph in Cloud Computing Scenario,Wu B.,10.1155/2021/6617959,2021-01-01,Wireless Communications and Mobile Computing,https://api.elsevier.com/content/abstract/scopus_id/85103533943
LOBD: Linked Data Dashboard for Marine Biodiversity,Zárate M.,10.1007/978-3-030-84825-5_11,2021-01-01,Communications in Computer and Information Science,https://api.elsevier.com/content/abstract/scopus_id/85115143756
Intelligent data routing model for social network using semantic web,Manikantan M.,10.1109/ICAECA52838.2021.9675623,2021-01-01,2021 International Conference on Advancements in Electrical Electronics Communication Computing and Automation Icaeca 2021,https://api.elsevier.com/content/abstract/scopus_id/85125014206
KOBE: Cloud-Native Open Benchmarking Engine for Federated Query Processors,Kostopoulos C.,10.1007/978-3-030-77385-4_40,2021-01-01,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,https://api.elsevier.com/content/abstract/scopus_id/85111131343
Delegated Authorization Framework for EHR Services using Attribute Based Encryption,Joshi M.,10.1109/SERVICES51467.2021.00028,2021-01-01,Proceedings 2021 IEEE World Congress on Services Services 2021,https://api.elsevier.com/content/abstract/scopus_id/85123705808
Ontology-based broker system for interoperability of federated cloud computing platforms,Huapai S.,10.1504/IJCAT.2021.120736,2021-01-01,International Journal of Computer Applications in Technology,https://api.elsevier.com/content/abstract/scopus_id/85125069481
Clone: Collaborative ontology editor as a service in the cloud,Preventis A.,10.1016/j.procs.2021.04.006,2021-01-01,Procedia Computer Science,https://api.elsevier.com/content/abstract/scopus_id/85106674924
An Ontology Based Matchmaking Technique for Cloud Service Discovery and Selection Using Aneka PaaS,Parhi M.,10.1007/978-981-15-8218-9_15,2021-01-01,Lecture Notes in Networks and Systems,https://api.elsevier.com/content/abstract/scopus_id/85097834771
A Semantic Matchmaking Technique for Cloud Service Discovery and Selection Using Ontology Based on Service-Oriented Architecture,Parhi M.,10.1007/978-981-15-5971-6_4,2021-01-01,Smart Innovation Systems and Technologies,https://api.elsevier.com/content/abstract/scopus_id/85096487047
Towards a Cloud-WSDL Metamodel: A New Extension of WSDL for Cloud Service Description,Ghazouani S.,10.1007/978-3-030-82472-3_20,2021-01-01,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,https://api.elsevier.com/content/abstract/scopus_id/85115198565
Cyber attack detection framework for cloud computing,Badde S.,10.1007/978-981-15-5679-1_23,2021-01-01,Advances in Intelligent Systems and Computing,https://api.elsevier.com/content/abstract/scopus_id/85091092397
"The internet at the service of society: Business ethics, rationality, and responsibility",Gonzalez W.J.,10.5944/ENDOXA.46.2020.28029,2021-01-01,Endoxa,https://api.elsevier.com/content/abstract/scopus_id/85100531492
Augmenting Cloud Service Discovery Using Ontology,Khatri A.,10.1007/978-981-15-6014-9_23,2021-01-01,Advances in Intelligent Systems and Computing,https://api.elsevier.com/content/abstract/scopus_id/85092659651
The Efficiency Improvement of Robots Group Operation by Means of Workload Relocation,Melnik E.,10.1007/978-3-030-87725-5_11,2021-01-01,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,https://api.elsevier.com/content/abstract/scopus_id/85116459016
Enhanced urban functional land use map with free and open-source data,Vu T.T.,10.1080/17538947.2021.1970262,2021-01-01,International Journal of Digital Earth,https://api.elsevier.com/content/abstract/scopus_id/85113787755
Adaptive MoD Chatbot: Toward Providing Contextual Corporate Summarized Document as Suggestions and Reported Issue Ticket Routing,Nayak S.P.,10.1007/978-981-15-3514-7_50,2021-01-01,Advances in Intelligent Systems and Computing,https://api.elsevier.com/content/abstract/scopus_id/85090519975
Ontology-based data management for adaptable safety functions in cyber-physical production systems,Brecher C.,10.1016/j.procir.2021.11.033,2021-01-01,Procedia CIRP,https://api.elsevier.com/content/abstract/scopus_id/85121647139
A smart development environment for infrastructure as code,Gorroñogoitia J.,,2021-01-01,Ceur Workshop Proceedings,https://api.elsevier.com/content/abstract/scopus_id/85108025317
A Cloud Based Knowledge Sharing System for Traditional Medicines,Naz M.,10.1007/978-3-030-79757-7_29,2021-01-01,Lecture Notes in Networks and Systems,https://api.elsevier.com/content/abstract/scopus_id/85111455456
Ontology for Structuring a Digital Databases for Decision Making in Grain Production,Neves R.A.,10.1109/ICSC50631.2021.00071,2021-01-01,Proceedings 2021 IEEE 15th International Conference on Semantic Computing ICSC 2021,https://api.elsevier.com/content/abstract/scopus_id/85102637386
A Dynamic Processing Algorithm for Variable Data in Intranet Security Monitoring,Zhou C.,10.1007/978-3-030-78612-0_12,2021-01-01,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,https://api.elsevier.com/content/abstract/scopus_id/85112046922
Exploring the research themes and their relationships of LIS in China from 2013 to 2018 using co-word analysis,Xu F.,10.1016/j.acalib.2020.102295,2021-01-01,Journal of Academic Librarianship,https://api.elsevier.com/content/abstract/scopus_id/85096877226
"Digital twin-based industrial cloud robotics: Framework, control approach and implementation",Xu W.,10.1016/j.jmsy.2020.07.013,2021-01-01,Journal of Manufacturing Systems,https://api.elsevier.com/content/abstract/scopus_id/85088562007
Development of a Smart Technique for Mobile Web Services Discovery,Eb-Saad M.,10.32604/cmc.2021.017783,2021-01-01,Computers Materials and Continua,https://api.elsevier.com/content/abstract/scopus_id/85110689757
Study of the key technology on the Geo-hazard spatial information sharing platform in Meizoseismal Region of Wenchuan Earthquake Zone,Wang Z.,10.1007/s12652-020-02117-5,2021-01-01,Journal of Ambient Intelligence and Humanized Computing,https://api.elsevier.com/content/abstract/scopus_id/85085320081
A Cloud Computing Capability Model for Large-Scale Semantic Annotation,Adedugbe O.,10.1109/DeSE51703.2020.9450748,2020-12-14,Proceedings International Conference on Developments in Esystems Engineering Dese,https://api.elsevier.com/content/abstract/scopus_id/85112582380
Cloud-based Encrypted EHR System with Semantically Rich Access Control and Searchable Encryption,Walid R.,10.1109/BigData50022.2020.9378002,2020-12-10,Proceedings 2020 IEEE International Conference on Big Data Big Data 2020,https://api.elsevier.com/content/abstract/scopus_id/85103837564
A hybrid recommendation algorithm with short-term preference and knowledge preference,Li J.L.,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00100,2020-12-01,Proceedings 2020 IEEE International Symposium on Parallel and Distributed Processing with Applications 2020 IEEE International Conference on Big Data and Cloud Computing 2020 IEEE International Symposium on Social Computing and Networking and 2020 IEEE International Conference on Sustainable Computing and Communications Ispa Bdcloud Socialcom Sustaincom 2020,https://api.elsevier.com/content/abstract/scopus_id/85108030108
S-IterE: Using text generation to solve entity sparseness in knowledge reasoning,Wang X.,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00174,2020-12-01,Proceedings 2020 IEEE International Symposium on Parallel and Distributed Processing with Applications 2020 IEEE International Conference on Big Data and Cloud Computing 2020 IEEE International Symposium on Social Computing and Networking and 2020 IEEE International Conference on Sustainable Computing and Communications Ispa Bdcloud Socialcom Sustaincom 2020,https://api.elsevier.com/content/abstract/scopus_id/85108023386
A span-based model for joint entity and relation extraction with relational graphs,Wang X.,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00090,2020-12-01,Proceedings 2020 IEEE International Symposium on Parallel and Distributed Processing with Applications 2020 IEEE International Conference on Big Data and Cloud Computing 2020 IEEE International Symposium on Social Computing and Networking and 2020 IEEE International Conference on Sustainable Computing and Communications Ispa Bdcloud Socialcom Sustaincom 2020,https://api.elsevier.com/content/abstract/scopus_id/85108030005
Multi-relational graph convolutional networks for skeleton-based action recognition,Liu F.,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00085,2020-12-01,Proceedings 2020 IEEE International Symposium on Parallel and Distributed Processing with Applications 2020 IEEE International Conference on Big Data and Cloud Computing 2020 IEEE International Symposium on Social Computing and Networking and 2020 IEEE International Conference on Sustainable Computing and Communications Ispa Bdcloud Socialcom Sustaincom 2020,https://api.elsevier.com/content/abstract/scopus_id/85108030746
Integrated machine learning with semantic web for open government data recommendation based on cloud computing,Hsu I.C.,10.1002/spe.2892,2020-12-01,Software Practice and Experience,https://api.elsevier.com/content/abstract/scopus_id/85090949770
"A Hybrid Artificial Intelligence, Machine Learning, and Control Algorithm Integration Framework for Embedded Systems using Semantic Web Technology",Wallace J.,10.1109/CSCI51800.2020.00089,2020-12-01,Proceedings 2020 International Conference on Computational Science and Computational Intelligence Csci 2020,https://api.elsevier.com/content/abstract/scopus_id/85113405721
A suggested taxonomy for Governmental Clouds,Roungeris K.,10.1109/CSCI51800.2020.00240,2020-12-01,Proceedings 2020 International Conference on Computational Science and Computational Intelligence Csci 2020,https://api.elsevier.com/content/abstract/scopus_id/85113381432
Cost Effective Cloud Storage Interoperability Between Public Cloud Platforms,Serhane Y.,,2020-12-01,International Journal of Communication Networks and Information Security,https://api.elsevier.com/content/abstract/scopus_id/85100048814
Ontology-based modeling and semantic query for mobile trajectory data,Shao P.,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00176,2020-12-01,Proceedings 2020 IEEE International Symposium on Parallel and Distributed Processing with Applications 2020 IEEE International Conference on Big Data and Cloud Computing 2020 IEEE International Symposium on Social Computing and Networking and 2020 IEEE International Conference on Sustainable Computing and Communications Ispa Bdcloud Socialcom Sustaincom 2020,https://api.elsevier.com/content/abstract/scopus_id/85108026079
Rethinking data-driven decision support in flood risk management for a big data age,Towe R.,10.1111/jfr3.12652,2020-12-01,Journal of Flood Risk Management,https://api.elsevier.com/content/abstract/scopus_id/85089290674
Business Process Modeling Notation Extension for Real Time Handling - Application to Novel Coronavirus (2019-nCoV) management process,Ouarhim A.,10.1109/CloudTech49835.2020.9365900,2020-11-24,Proceedings of 2020 5th International Conference on Cloud Computing and Artificial Intelligence Technologies and Applications Cloudtech 2020,https://api.elsevier.com/content/abstract/scopus_id/85102630158
Construction of a Cloud Scenario Knowledge Graph for Cloud Service Market,Zhang S.,10.1109/ICSESS49938.2020.9237681,2020-10-16,Proceedings of the IEEE International Conference on Software Engineering and Service Sciences Icsess,https://api.elsevier.com/content/abstract/scopus_id/85096159887
Knowledge fusion based on cloud computing environment for long-term care,Zhuang K.X.,10.4018/IJHISI.2020100103,2020-10-01,International Journal of Healthcare Information Systems and Informatics,https://api.elsevier.com/content/abstract/scopus_id/85100710611
Enhanced security-aware technique and ontology data access control in cloud computing,Kiran G.M.,10.1002/dac.4554,2020-10-01,International Journal of Communication Systems,https://api.elsevier.com/content/abstract/scopus_id/85089403928
FIPA-based reference architecture for efficient discovery and selection of appropriate cloud service using cloud ontology,Abbas G.,10.1002/dac.4504,2020-09-25,International Journal of Communication Systems,https://api.elsevier.com/content/abstract/scopus_id/85087758265
Design of efficient fog-cloud system through machine learning,Hwang C.G.,10.17654/HMSI20031,2020-09-01,JP Journal of Heat and Mass Transfer,https://api.elsevier.com/content/abstract/scopus_id/85091648223
Personalized cloud service review analysis based on modularized ontology,Ben-Abdallah E.,10.1108/OIR-06-2019-0207,2020-08-20,Online Information Review,https://api.elsevier.com/content/abstract/scopus_id/85087721715
Cloud SLA negotiation and re-negotiation: An ontology-based context-aware approach,Labidi T.,10.1002/cpe.5315,2020-08-10,Concurrency and Computation Practice and Experience,https://api.elsevier.com/content/abstract/scopus_id/85066038776
CloudFNF: An ontology structure for functional and non-functional features of cloud services,Al-Sayed M.M.,10.1016/j.jpdc.2020.03.019,2020-07-01,Journal of Parallel and Distributed Computing,https://api.elsevier.com/content/abstract/scopus_id/85083359296
Data Sovereignty Governance Framework,Singi K.,10.1145/3387940.3392212,2020-06-27,Proceedings 2020 IEEE ACM 42nd International Conference on Software Engineering Workshops Icsew 2020,https://api.elsevier.com/content/abstract/scopus_id/85093095859
Ontologies for cloud robotics,Freitas E.P.D.,10.1017/S0269888920000338,2020-06-02,Knowledge Engineering Review,https://api.elsevier.com/content/abstract/scopus_id/85085883768
Research on Design and Implementation of Knowledge Map Storage Access System Based on Ontology Reasoning,Li J.,10.1088/1742-6596/1544/1/012096,2020-06-02,Journal of Physics Conference Series,https://api.elsevier.com/content/abstract/scopus_id/85086410469
Development and Implementation of Art Teaching Resource Base on Mobile Platform,Yuan W.,10.1109/ICSGEA51094.2020.00097,2020-06-01,Proceedings 2020 5th International Conference on Smart Grid and Electrical Automation Icsgea 2020,https://api.elsevier.com/content/abstract/scopus_id/85098515122
An intelligent cloud service discovery framework,Al-Sayed M.M.,10.1016/j.future.2019.12.027,2020-05-01,Future Generation Computer Systems,https://api.elsevier.com/content/abstract/scopus_id/85078020516
EpiMOLAS: An intuitive web-based framework for genome-wide DNA methylation analysis,Su S.Y.,10.1186/s12864-019-6404-8,2020-04-02,BMC Genomics,https://api.elsevier.com/content/abstract/scopus_id/85082765070
Research and Implementation of QA System Based on the Knowledge Graph of Chinese Classic Poetry,Chen Z.,10.1109/ICCCBDA49378.2020.9095587,2020-04-01,2020 IEEE 5th International Conference on Cloud Computing and Big Data Analytics Icccbda 2020,https://api.elsevier.com/content/abstract/scopus_id/85085735617
Leveraging cloud computing for the semantic web: review and trends,Adedugbe O.,10.1007/s00500-019-04559-2,2020-04-01,Soft Computing,https://api.elsevier.com/content/abstract/scopus_id/85075881857
Bringing semantics to multicloud service compositions,Ghazouani S.,10.1002/spe.2789,2020-04-01,Software Practice and Experience,https://api.elsevier.com/content/abstract/scopus_id/85077983088
Cross-lingual multi-keyword rank search with semantic extension over encrypted data,Guan Z.,10.1016/j.ins.2019.11.013,2020-04-01,Information Sciences,https://api.elsevier.com/content/abstract/scopus_id/85075974735
A causality mining and knowledge graph based method of root cause diagnosis for performance anomaly in cloud applications,Qiu J.,10.3390/app10062166,2020-03-01,Applied Sciences Switzerland,https://api.elsevier.com/content/abstract/scopus_id/85082711625
"Emergent models, frameworks, and hardware technologies for Big data analytics",Groppe S.,10.1007/s11227-018-2277-x,2020-03-01,Journal of Supercomputing,https://api.elsevier.com/content/abstract/scopus_id/85042220338
A knowledge-based multi-criteria collaborative filtering approach for discovering services in mobile cloud computing platforms: The case of MobiCloUP!,Colombo-Mendoza L.,10.1007/s10844-018-0527-2,2020-02-01,Journal of Intelligent Information Systems,https://api.elsevier.com/content/abstract/scopus_id/85053499992
A multi-layered policy generation and management engine for semantic policy mapping in clouds,Fatemi Moghaddam F.,10.1016/j.dcan.2019.02.001,2020-02-01,Digital Communications and Networks,https://api.elsevier.com/content/abstract/scopus_id/85067176334
A review paper on the application of knowledge graph on various service providing platforms,Nigam V.V.,10.1109/Confluence47617.2020.9058298,2020-01-01,Proceedings of the Confluence 2020 10th International Conference on Cloud Computing Data Science and Engineering,https://api.elsevier.com/content/abstract/scopus_id/85083977672
Harmonizing Big Data with a Knowledge Graph: OceanGraph KG Uses Case,Zárate M.,10.1007/978-3-030-61218-4_6,2020-01-01,Communications in Computer and Information Science,https://api.elsevier.com/content/abstract/scopus_id/85096524282
An Integrated Knowledge Graph to Automate Cloud Data Compliance,Joshi K.P.,10.1109/ACCESS.2020.3008964,2020-01-01,IEEE Access,https://api.elsevier.com/content/abstract/scopus_id/85090322546
MI-KGNN: Exploring Multi-dimension Interactions for Recommendation Based on Knowledge Graph Neural Networks,Wang Z.,10.1007/978-3-030-64243-3_13,2020-01-01,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,https://api.elsevier.com/content/abstract/scopus_id/85097839560
