title,author,description,created,updated,keywords,url,license
Economic and cyber security,"Victor Krasnobayev, Alina Yanko, Alina Hlushko, Oleg Kruk, Oleksandr Kruk, Vitalii Gakh, Svitlana Onyshchenko, Oleksandra Maslii, Oleksandr Kivshyk, Kateryna Potapova, Mykola Nalyvaichuk, Vasyl Meliukh, Stanislav Gurynenko, Kostiantyn Koliada, Alexandre Scherbyna, Anastasiia Poltorak, Svitlana Tyshchenko, Olha Khrystenko, Volodimir Ribachuk, Vitalii Kuzoma, Viktoriia Stamat, Maksym Kolesnyk, Olena Arefieva, Dmytro Onopriienko, Yuliia Kovalenko, Tetiana Ostapenko, Iryna Hrashchenko","<p>Collective monograph highlights the results of systematic scientific research devoted to the problems of economic cyber security as a component of the financial security of the state, and contains practical recommendations on measures to strengthen the security of the state, in particular strategically important enterprises, in the presence of modern threats.</p>
<p>Chapter 1 analyzes the position of Ukraine in the global cyber security ratings and outlines promising directions for increasing its level, one of which is the improvement of information protection systems of critical infrastructure objects. A data comparison algorithm is considered, which consists in continuous monitoring and scanning of data by constantly comparing data with information patterns of users and services, as well as threat patterns and indicators based on previous experience, not only one's own, within a local network or system, but also globally scale An improved method of rapid data comparison is presented, which provides maximum accuracy of comparison with a minimum amount of equipment for comparing devices. Its use makes it possible to identify potential cyber threats and take preventive measures, which will increase the level of protection of critical infrastructure objects.</p>
<p>Chapter 2 focuses on defining strategic directions for ensuring economic cyber security of business in Ukraine. The importance of information protection in the context of the development of the digital economy has been updated, and the place of economic cyber security in the national security system has been determined. A thorough analysis of the dynamics of cyber incidents in the world in recent years was carried out and the specifics of the manifestation of cyber threats at the macro and micro levels were outlined. Special attention is paid to the intrusion detection process and a detailed study of the working principles of modern intrusion detection and prevention systems. It is expected that the use of the proposed recommendations on the cyber security policy will significantly increase the level of information security (confidentiality, integrity and availability) of the business.</p>
<p>Chapter 3 is dedicated to solving the problem of strengthening the security of strategically important enterprises of Ukraine by developing effective forms of implementation of the state regulatory policy in this direction. The issue of identifying strategically important enterprises and forming their security at the state level as a basis for supporting and restoring the national economy has been updated. The strategic directions of deregulation of business activity in Ukraine, including strategically important enterprises, have been determined. One of them is institutional support of state regulatory policy, improvement of regulatory policy. On the basis of the analysis of the existing institutional support of the state regulatory policy regarding strategically important enterprises, it has been proved that the basis of the formation of effective forms of implementation of the state regulatory policy of support and strengthening of the security of strategically important enterprises is the need to improve the current legislation, the formation of effective institutional and organizational support and the clustering of the national economy based on strategic important enterprises with the possibility of creating integrated corporate structures. A model of the process of assessing the effectiveness of the implementation of the state regulatory policy on ensuring the security of strategically important enterprises is proposed, which provides regulatory bodies with a tool to influence its level with the provision of economic development and social stability in Ukraine.</p>
<p>Chapter 4 explores Semantic role labeling (SRL) as a key Natural Language Processing (NLP) task that plays a vital role in extracting meaningful information from text. The role of SRL and its application is considered in the context of economics and cyber security, because the accurate definition and analysis of semantic roles in text is critical due to the rapid increase in the amount and complexity of textual information. State-of-the-art NLP classifiers used in decision-making, market analysis and financial reports, media articles, and economic texts are reviewed. It is emphasized that the process of determining relevant information from a large array of data collected from disparate sources requires an optimal methodological base, which should include the use of special tools for cleaning, tokenization, marking parts of speech with labels for preparation for NLP analysis. With the help of NLP classifiers, it becomes possible to automatically identify data, which allows to get information about market trends or security threats, depending on the specific field. It is noted that the proposed methods are practically significant, as they improve the ability to extract useful information, assess risks and make informed decisions by organizing unstructured textual data.</p>
<p>Chapter 5 is dedicated to the comprehensive substantiation of the theoretical and methodological foundations and practical methods of monitoring the state of financial security of Ukraine in conditions of economic turbulence as a factor ensuring the preservation of the state's financial system. Indicators of the state of financial security of regions are proposed and it is proved that they are not strongly connected, and also interconnected with the state of financial security of the state, which allows their use as input information in the process of calculating the integral indicator of the state of financial security of the region. On the basis of the proposed methodology for assessing the state of financial security of regions, integral indicators of the state of financial security of regions of Ukraine were calculated, which are actually the result of collapsing indicators by subsystems into a system index for a certain region, high values of which characterize a relatively stable value of financial security of a certain region, and low values signal its dangerous or critical condition.</p>
<p>Chapter 6 discusses the essence and features of the circular economy as an innovative com-ponent of the modern economy, which functions and develops on the basis of sustainable devel-opment, the deep reasons for its emergence, formation and transformation into a factor in the formation of a new paradigm of the global economy. Being a mechanism for the implementation of the Global Goals of sustainable development, the concept of a closed cycle economy encourages highly deve loped countries and businesses to introduce innovations and define the development of a circular economy as a priority in their long-term strategies.</p>
<p>The monograph is intended for researchers who are engaged in the development of measures to increase the financial security of the state, primarily through the development or improvement of security systems in cyberspace, as well as practitioners who are looking for the best scientific solutions for implementation, which can contribute to the formation of reliable cyber protection measures in the information environment of the enterprise, contributing to the increase of its financial security.</p>
<p>The monograph is also useful for state authorities, which are forced to search for operational, most effective solutions to ensure the financial security of the state as a whole, its strategic enterprises, including critical infrastructure, in particular through the regulation of security measures in the information space, in the presence of modern external threats.</p>",2023-11-24,2024-07-07T15:59:24.921341+00:00,"Integer economic data processing systems, modular number system, on-positional number system, economic cyber security, national economy, intrusion detection systems, nauthorized access, strategically important enterprises, state regulatory policy, institutional support, semantic role labeling, natural language processing, monitoring financial security, national security, circular economy",10.15587/978-617-7319-98-5,cc-by-4.0
Cloud Without Borders Why Smart Organizations Choose Two Solution,Mohit Thodupunuri,"<p><span lang=""EN-US"">In today's fast-evolving digital landscape, organizations are under increasing pressure to deliver agility, resilience, and continuous innovation. Relying on a single cloud provider, however, can create significant limitations, from vendor lock-in to constrained service flexibility and increased risks in disaster recovery scenarios. This article explores why forward-thinking companies are embracing multi-cloud strategies, specifically leveraging two major cloud platforms to optimize costs, enhance operational resilience, and fuel innovation. We unpack the key challenges organizations face with single-cloud dependencies, outline practical multi-cloud solutions, and offer strategic recommendations for navigating the complexities of multi-cloud adoption &mdash; all aimed at helping businesses future-proof their operations, empower their teams, and stay competitive in a rapidly shifting marketplace.</span></p>",2021-08-31,2025-06-04T12:10:06.663392+00:00,"multi-cloud strategy, cloud resilience, vendor lock-in, cross-cloud management, cloud cost optimization",10.5281/zenodo.15592813,cc-by-4.0
Effective Remote Troubleshooting Techniques in the Era of Cloud Computing and Distributed Systems,Satyadeepak Bollineni,"<p><span>In the rapidly evolving IT field, the emergence of cloud computing and distributed systems has brought about a paradigm shift in system management. While these technologies offer unprecedented flexibility and scalability, they also introduce new complexities in troubleshooting. This paper presents efficient methods of performing remote troubleshooting, specifically tailored to the unique challenges of cloud computing and distributed systems. Automated monitoring, root cause analysis, and collaboration tools are not just highlighted, but underscored as the most vital methods that define proactive strategies to prevent downtimes and maintain IT systems' structural reliability. The paper also outlines the critical importance of security during remote troubleshooting and offers guidelines for effective operation.</span></p>",2022-03-31,2024-10-11T08:13:52.380829+00:00,"Remote Troubleshooting, Cloud Computing, Distributed Systems, Automated Monitoring, Root Cause Analysis",10.5281/zenodo.13918260,cc-by-4.0
The Video Database for Teaching and Learning in Football Refereeing,"M. Armenteros, A. Domínguez, M. Fernández, A. J. Benítez","The following paper describes the video database tool used by the Fédération Internationale de Football Association (FIFA) as part of the research project developed in collaboration with the Carlos III University of Madrid. The database project began in 2012, with the aim of creating an educational tool for the training of instructors, referees and assistant referees, and it has been used in all FUTURO III courses since 2013. The platform now contains 3,135 video clips of different match situations from FIFA competitions. It has 1,835 users (FIFA instructors, referees and assistant referees). In this work, the main features of the database are described, such as the use of a search tool and the creation of multimedia presentations and video quizzes. The database has been developed in MySQL, ActionScript, Ruby on Rails and HTML. This tool has been rated by users as ""very good"" in all courses, which prompt us to introduce it as an ideal tool for any other sport that requires the use of video analysis.",2016-08-01,2024-08-02T21:27:20.796750+00:00,"Video database, FIFA, refereeing, e-learning.",10.5281/zenodo.1126517,cc-by-4.0
Cloud Computing and Web 3.0 Technologies for Effective Public Participation: The African Context,"Siunduh, Eric Sifuna, Mwangi, Zachary, Wechuli, Dr. Alice Nambiro","<p>The increasing adoption of cloud computing and Web 3.0 technologies offers transformative potential for public governance in Africa, particularly in enhancing citizen participation. Despite various efforts to digitize public services, many governments still struggle to ensure inclusive, transparent, and interactive participation frameworks. This paper examines how cloud computing and Web 3.0 technologies can be harnessed to empower citizens and strengthen e-participation in the African context. It explores the integration of semantic web, blockchain, and machine learning to facilitate interactive e-governance platforms. By employing an ex post facto research design, the study synthesizes empirical and theoretical insights to develop a model for citizen empowerment. Findings show that cloud-based platforms significantly increase accessibility and engagement, while Web 3.0 tools foster real-time collaboration and personalization. The proposed empowerment model emphasizes decentralization, transparency, and inclusivity. The study concludes with policy recommendations to foster digital literacy, improve infrastructure, and safeguard data governance for sustainable civic engagement.</p>",2025-07-12,2025-07-12T08:21:26.082273+00:00,"Cloud Computing, Web 3.0, Public Participation, E-Governance, Citizen Empowerment, Blockchain, Africa, Semantic Web",10.5281/zenodo.15868757,cc-by-4.0
Implementing Efficient Data Versioning and Lineage Tracking in Data Lakes,Chandrakanth Lekkala,"<p><span>Data lakes are now the most prevalent solution for storing and managing large data volumes in unstructured, semi-structured, and structured formats. However, the data science problem is not associated with the data lake growth and its size and complexity because it may become difficult to guarantee data reproducibility, traceability and governance. Data versioning and lineage tracking stand right at the heart of an effectively managed data lake, providing organizations with a way to track revisions within datasets, retain the record of changes that transform data, and maintain rules of data regulations compliance. This paper is about the role of versioning and lineage tracking of information in the data lakes, and stakeholders adopting these capabilities in the distributed storage systems are discussed. We emphasized using various tools, i.e., Apache Hudi, AWS Lake Formation, and Delta Lake, to implant effective versioning and data lineage tracking. Focusing on concrete case studies and real-world examples, we help organizations understand how to achieve optimized data lake architecture, making the data processing transparent, well traceable, and adequately governed. Thus, the last topic we discuss is a possible direction for further research and the difficulties in this field, which is turning faster and faster by the day.</span></p>",2023-08-31,2024-07-22T05:57:58.270466+00:00,"Data lakes, versioning, lineage tracking, reproducibility, governance, Apache Hudi, Delta Lake, AWS Lake Formation, distributed storage",10.5281/zenodo.12792488,cc-by-4.0
Graph Query Language: A Data Consolidation Layer,Khirod Chandra Panda,"<p><span><span>API integration is a crucial aspect of modern software development, enabling smooth communication between applications and external services. Among the various integration methods available, GraphQL has emerged as a powerful API query language, offering flexibility and efficiency in retrieving data. This article aims to explore API integration using GraphQL in-depth, covering its core concepts, advantages over traditional REST APIs, implementation strategies, best practices, real-world use cases, and its future in software development. GraphQL revolutionizes the way APIs are queried and executed. Unlike traditional REST APIs, which limit clients' control over the data they receive, GraphQL allows clients to specify exactly what data they require. This approach reduces unnecessary data fetching, leading to more effective communication between clients and servers. In a GraphQL Web API, a GraphQL schema defines the types of data objects that can be queried, while resolver functions fetch the relevant data from underlying sources based on the queries. This architecture not only enables efficient data access but also facilitates data integration. When the GraphQL schema accurately represents the semantics of data from various sources, and resolver functions can retrieve and structure data accordingly, GraphQL can act as a unified interface for accessing and integrating diverse data sources. However, current approaches to GraphQL for data integration lack semantic awareness and formal methods for defining GraphQL APIs based on ontologies. To bridge this gap, a framework is proposed in which a global domain ontology guides the generation of a GraphQL server. This framework includes an algorithm for generating a GraphQL schema based on ontology and generic resolver functions based on semantic mappings.</span></span></p>",2019-10-31,2024-07-06T03:53:28.957997+00:00,"Batching, Data, DoS, GraphQL, Introspection, Mutation, Query, Schema",10.5281/zenodo.11089895,cc-by-4.0
A Common Automated Programming Platform for Knowledge Based Software Engineering,"Ivan Stanev, Maria Koleva","Common Platform for Automated Programming
(CPAP) is defined in details. Two versions of CPAP are described:
Cloud based (including set of components for classic programming,
and set of components for combined programming); and Knowledge
Based Automated Software Engineering (KBASE) based (including
set of components for automated programming, and set of
components for ontology programming). Four KBASE products
(Module for Automated Programming of Robots, Intelligent Product
Manual, Intelligent Document Display, and Intelligent Form
Generator) are analyzed and CPAP contributions to automated
programming are presented.",2015-11-01,2024-08-02T22:00:03.413262+00:00,"Automated Programming, Cloud Computing, Knowledge Based Software Engineering, Service Oriented
Architecture.",10.5281/zenodo.1110477,cc-by-4.0
Managing the Cloud Procurement Process – Findings from a Case Study,"Andreas Jede, Frank Teuteberg","<p>Cloud computing (CC) has already gained overall<br>
appreciation in research and practice. Whereas the willingness to<br>
integrate cloud services in various IT environments is still unbroken,<br>
the previous CC procurement processes run mostly in an unorganized<br>
and non-standardized way. In practice, a sufficiently specific, yet<br>
applicable business process for the important acquisition phase is<br>
often lacking. And research does not appropriately remedy this<br>
deficiency yet. Therefore, this paper introduces a field-tested<br>
approach for CC procurement. Based on an extensive literature<br>
review and augmented by expert interviews, we designed a model<br>
that is validated and further refined through an in-depth real-life case<br>
study. For the detailed process description, we apply the event-driven<br>
process chain notation (EPC). The gained valuable insights into the<br>
case study may help CC research to shift to a more socio-technical<br>
area. For practice, next to giving useful organizational instructions<br>
we will provide extended checklists and lessons learned.</p>",2015-01-03,2024-08-02T22:18:18.788797+00:00,"Cloud Procurement Process, IT-Organization, Event-driven
Process Chain, In-depth Case Study.",10.5281/zenodo.1098942,cc-by-4.0
QoS BASED SERVICE COMPOSITION FOR SERVICE COMPUTING USING ENHANCED PSO,"P. Thangaraj, P. Balasubramanie","<p>In service composition, service delivery is the important factor which estimates and satisfies the needs of the end user. Due to availability of enormous service providers providing required computing facility across various domains. The selection and retrieval of appropriate service is done using various evolutionary algorithms. Here we use an enhanced particle swarm optimization algorithm to classify the services available services based on the functional and non functional QoS factors. The enhanced PSO algorithm used in this work focuses on the attributes such as effectiveness, reliability, cost, availability, distance and interoperability. The result shows that the best interoperable service is chosen and delivered to the end user. For example, the best integrated separate reservation system is retrieved for travel, hotel and other resources required to satisfy the need of customer as a single service.</p>",2017-04-09,2024-08-03T11:53:00.961869+00:00,Particle Swarm Optimization; Web Services; Quality of Service & Interoperability,10.5281/zenodo.495744,cc-by-4.0
A FRAMEWORK FOR A SMART SOCIALBLOOD DONATION SYSTEM BASEDON MOBILE CLOUD COMPUTING,Almetwally M. Mostafa,"<p>Blood Donation and Blood Transfusion Services (BTS) are crucial for saving people&rsquo;s lives. Recently, worldwide efforts have been undertaken to utilize social media and smartphone applications to make the blood donation process more convenient, offer additional services, and create communities around blood donation centers. Blood banks suffer frequent shortage of blood;hence, advertisements are frequently seen on social networks urging healthy individuals to donate blood for patients who urgently require blood transfusion. The blood donation processusuallyconsumesa lot of time and effort from both donors and medical staff since there is no concrete information system that allows donorsand blood donation centers communicate efficiently and coordinate with each other tominimize time and effort required for blood donation process. Moreover, most blood banks work in isolation and are not integrated with other blood donation centers and health organizations which affect the blood donation and blood transfusion services&rsquo; quality. This work aims at developing a Blood Donation System (BDS) based on the cutting-edge information technologies of cloud computing and mobile computing. The proposedsystem facilitates communication between blood donorsand blood donation centers and integrates the blood information dispersed among different blood donation centers and health organizations acrossa country.Stakeholders will be able to use the BDS as an application installed on their smartphones to help them complete the blood donation process with minimal effort and time. Thisapplication helps people receive notifications on urgent blood donation calls, know their eligibility to give blood, search for the nearest blood center, and reserve a convenient appointment using temporal and/or spatial information. It also helps establish a blood donation community through social networks such as Facebook and Twitter.</p>",2020-07-07,2024-07-19T18:29:48.890902+00:00,Blood donation systems; Cloud computing; Mobile computing; Ontology,10.5281/zenodo.3932681,cc-by-4.0
ROLE BASED SECURED ACCESS OF DATA IN CLOUDS,"R. Saravana Kumar, Dr. P. Suresh","<p>In mobile wireless sensor network, coverage and energyCloud computing is a type of internet-based computing that provides shared computer processing resources and data to computers and other devices on demand. It is a model for enabling ubiquitous, on-demand access to a shared pool of configurable computing resources e.g., computer networks, servers, storage, applications and services, which can be rapidly provisioned and released with minimal management effort. Attribute-based access control defines an access control paradigm whereby access rights are granted to users through the use of policies which combine attributes together. The policies can use any type of attributes such as user attributes, resource attributes, object and environment attributes etc. This model supports Boolean logic, in which rules contain ""if-then"" statements about who is making the request, the resource and the action. The main problem in attribute–based access control is not having user-centric approach for authorization rules. In ABAC model role hierarchy and object hierarchy is not achieved and restriction in level of expressiveness in access control rules.Secured role-based access control allows managing authorization based on rule-based approach where rules are under the control of data owner and provides enriched role-based expressiveness including role and object hierarchies. Data user without the knowledge of data owner cannot use the cloud server where privilege is provided to data user by data owner. Access control computations are delegated to the cloud service provider, being this not only unable to access the data, but also unable to release it to unauthorized parties. A identity-based proxy re-encryption scheme has been used in order to provide a comprehensive and feasible solution for data centric-approach. Semantic web technologies have been exposed for the representation and evaluation of the authorization model.</p>",2017-03-28,2024-08-03T12:04:30.605421+00:00,"Data-Centric Security, Cloud Computing, Role-Based Access Control & Authorization",10.5281/zenodo.438627,cc-by-4.0
ONTOLOGY-BASED EMERGENCY MANAGEMENT SYSTEM IN A SOCIAL CLOUD,Bhuvaneswari A1  and Karpagam.G.R2,"<p>The need for Emergency Management continually grows as the population and exposure to catastrophic failures increase. The ability to offer appropriate services at these emergency situations can be tackled through group communication mechanisms. The entities involved in the group communication include people, organizations, events, locations and essential services. Cloud computing is a &ldquo;as a service&rdquo; style of computing that enables on-demand network access to a shared pool of resources. So this work focuses on proposing a social cloud constituting group communication entities using an open source platform, Eucalyptus. The services are exposed as semantic web services, since the availability of machine-readable metadata (Ontology) will enable the access of these services more intelligently. The objective of this paper is to propose an Ontology-based Emergency Management System in a social cloud and demonstrate the same using emergency healthcare domain</p>",2018-10-06,2024-08-02T03:04:51.388614+00:00,"Ontology, Cloud, Social Network, Service Composition & Emergency Management",10.5281/zenodo.1449825,cc-by-4.0
Ontology-Based Backpropagation Neural Network Classification and Reasoning Strategy for NoSQL and SQL Databases,"Hao-Hsiang Ku, Ching-Ho Chi","<p>Big data applications have become an imperative for many fields. Many researchers have been devoted into increasing correct rates and reducing time complexities. Hence, the study designs and proposes an Ontology-based backpropagation neural network classification and reasoning strategy for NoSQL big data applications, which is called ON4NoSQL. ON4NoSQL is responsible for enhancing the performances of classifications in NoSQL and SQL databases to build up mass behavior models. Mass behavior models are made by MapReduce techniques and Hadoop distributed file system based on Hadoop service platform. The reference engine of ON4NoSQL is the ontology-based backpropagation neural network classification and reasoning strategy. Simulation results indicate that ON4NoSQL can efficiently achieve to construct a high performance environment for data storing, searching, and retrieving.</p>",2017-09-01,2024-08-02T21:10:55.009032+00:00,"Hadoop, NoSQL, ontology, backpropagation neural network, and high distributed file system.",10.5281/zenodo.1132613,cc-by-4.0
A Comprehensive Research on Cloud Data Security,"Dr. S.K.Jha, Dr.R.K.Singh, S.K.Ojha","<p>Today, cloud computing is an evolved technology in computing in computer science where a set of resources and services are offered by the network or internet allowing on-demand, scalable, autonomous and economical massive scale services shared among multiple users. Cloud facilitates its users by providing virtual resources via Internet. For IT professionals cloud computing is a new kind of business consists of new technology platform for developing and deploying applications and on the other hand end user finds it as a cheaper method to use applications. As the field of cloud computing is spreading the new techniques are developing. This increase in cloud computing environment also increases security challenges for cloud developers. Users of cloud save their data in the cloud hence the lack of security in cloud can lose the user&rsquo;s trust. Cloud security is one of the main concerns on interested parties' minds. While evaluating the security challenges in cloud computing, each concern has a variety of repercussions on specific assets. Despite numerous researches, we are still unable to specify the security requirements, Previous researches have formulated a lot of security solutions that service providers with various assessment methods can utilize. Consequently, there is a growing demand for a critical evaluation of earlier research on Cloud Security Ontology. This paper presents the latest noble approach for a secure cloud introducing IPSec Management providing data access security to thwart congestion attack and manin-the-middle attack.</p>",2024,2024-11-17T13:07:44.215857+00:00,,10.5281/zenodo.14175522,cc-by-4.0
Mapping and Analyzing the Conceptual Network Structure in the Field of Information Security,"Ahangar, Adele, Bab AlHawaeji, Fahima, Hosseini Beheshti, Moluksadat, Hariri, Najala, Khademi, Maryam","<p>Today, with the expansion of semantic web services, the need for search engines to utilize conceptual networks and domain ontologies for logical inference and reasoning from user queries, as well as for optimal (accurate and relevant) retrieval, is increasing. This applied research aims to analyze the structure of the conceptual network in the field of information security, and its domain structure was discovered through combined methods of co-occurrence analysis of keywords and social network analysis. The statistical population of this study consists of 10,227 scientific documents in the field of information security, including books, journal articles, and conference papers at the international level, sourced from the Scopus and Web of Science databases during the years 2013-2017. For preprocessing keywords and tags, the Zotero software was used, while Excel was employed to match them with information security and computer science vocabularies. For visualization and analysis of thematic networks, VosViewer and Gephi were utilized.&nbsp;</p>
<p>By examining 19,648 keywords and tags, 207 keywords were extracted based on the latest version of the information security vocabulary. The findings of the study revealed that this network consists of 14 clusters: 5 mature clusters, 7 semi-mature clusters, and 2 immature clusters, indicating that the conceptual network in the field of information security has good coherence and density. The concepts of ""security,"" ""information security,"" ""information systems,"" ""privacy,"" ""information,"" ""telecommunications,"" ""cryptography,"" ""encryption,"" ""authentication,"" ""cybersecurity,"" ""network,"" ""cloud computing,"" ""security attacks,"" ""access control,"" ""intrusion detection systems,"" ""security protocols,"" ""risk,"" ""risk management and its frameworks,"" and ""access level agreements"" are among the most important concepts in this network, possessing the highest betweenness centrality. The nature of their interconnections and internal links is direct.</p>",2021,2024-11-05T10:44:30.389590+00:00,Conceptual Network,10.5281/zenodo.14039504,cc-by-4.0
Reducing benign positives in threat detection systems: A graph-based approach to contextualizing security alerts,"Joshua, Emmanuel","<p>Threat detection systems form the backbone of modern enterprise cybersecurity programs, analyzing massive volumes of logs, network flows, and user activities to identify potentially malicious events. Despite continuous advances in detection techniques, these systems generate an abundance oding to alert fatigue, wasted analyst resources, and a delayed response to actual threats. This paper surveys the problem of benign positives and proposes a graph-based framework that unifies alerts, user roles, infrastructure metadata, and historical dispositions in a knowledge graph. By representing alerts and contextual entities as interconnected nodes and edges, security teams can quickly detect recurring benign patterns (e.g., routine scanning tasks, staging environment bulk transfers) and implement precise suppression rules. Experimental findings from a simulated enterprise environment indicate that this approach significantly reduces benign positives compared to conventional static filters or standalone machine learning methods. The paper closes with recommendations for integrating multi-cloud data, automated rule generation, privacy safeguards, and user-friendly interfaces that support non-expert security analysts.</p>",2025-03-30,2025-08-30T10:01:27.675078+00:00,"Cybersecurity, Threat Detection, Benign Positives, False Positives, Security Automation, Anomaly Detection Graph-Based Modeling, Security Intelligence, Machine Learning, Security Data Visualization",10.5281/zenodo.17007340,cc-by-4.0
COBE Framework: Cloud Ontology Blackboard Environment for Enhancing Discovery Behavior,"Ahmed Ghoneim1, 3 & Amr Tolba2, 3","<p>The new relatively concept of cloud computing &amp; its associated methodologies has many advantages in the world of today. Such advantages range between providing solutions for integration of the miscellaneous systems &amp; presenting as well guarantees for distribution of searching means &amp; integration of software tools which are used by consumers &amp; different providers. In this paper, we have constructed an ontologybased cloud framework with a view to identifying its external agent&rsquo;s interoperability. The proposed framework has been designed using the blackboard design style. This framework is composed of mainly two components: controller and cloud ontology blackboard environment. The function of the controller is to interact with consumers after receipt of the subject request where it spontaneously uses the ontology base to distribute it &amp; constitute the required related responses whereas the function of the second framework component is to interact with different cloud providers and systems, using the meta-ontology framework to restructure data via using AI reasoning tools and map them to its corresponding redistributed request. Finally, E-tourism case study can be applicable will be explored.</p>",2018-09-12,2024-08-02T04:11:35.788796+00:00,,10.5281/zenodo.1413921,cc-by-4.0
Mobility services data models for open and inclusive MaaS infrastructures,"Salamanis, Athanasios, Ioakeimidis, Theodoros, Gkemou, Maria, Kehagias, Dionysios, Tzovaras, Dimitrios","<p>Over the recent years, the vast variety of widely accessible cloud computing services along with the need to<br>
combine transportation services either from public or private providers, have led to the rise of the Mobility<br>
as a Service (MaaS) concept. The main feature of MaaS is that it gives users access to a set of heterogeneous<br>
transportation services from a single access point (i.e., an app). The ever-increasing adoption of MaaS<br>
by service providers introduces a variety of new business models and technologies that can successfully<br>
support the design and deployment of MaaS services.</p>",2019-12-03,2024-07-19T10:32:06.107357+00:00,"MaaS, JSON schema, Ontology, OWL, KPI, Cyclomatic complexity, Halstead metrics, Maintainability index, Technical debt",10.5281/zenodo.4434305,cc-by-4.0
"Digital Libraries and Emerging Technologies by Dr. Madansing D. Golwal,Dr. Sharad G. Yandayat (Rajput)",GCS PUBLISHERS,"<h2><span>In an age defined by the uninterrupted flow of information, digital libraries have emerged as dynamic platforms that extend far beyond the traditional notions of storing, managing, and retrieving resources. They have evolved into living ecosystems&mdash;integrating advanced technologies, supporting interactive knowledge creation, promoting accessibility, and fostering innovation in education, research, and society at large.</span></h2>
<h2><span>This book,&nbsp;<em>Digital Libraries and Emerging Technologies</em>, represents the collective efforts of scholars, practitioners, and researchers who share a common interest in exploring how emerging technologies are reshaping the design, functionality, and impact of digital libraries. The chapters assembled here cover a wide spectrum of perspectives, ranging from conceptual frameworks and technological infrastructures to case studies, applications, and user-centered practices.</span></h2>
<h2><span>The multi-author nature of this book ensures diversity in voices and expertise. Contributors have drawn upon their unique academic, professional, and cultural backgrounds to shed light on critical themes such as artificial intelligence, semantic web, big data, cloud computing, blockchain, augmented and virtual reality, as well as the challenges of digital preservation, interoperability, open science, and information ethics. Together, these contributions illustrate the convergence of technology and librarianship, while also posing critical questions on inclusivity, sustainability, and the human dimensions of digital transformation.</span></h2>
<h2><span>The rapid pace of technological change necessitates ongoing inquiry, experimentation, and adaptation. We therefore see this volume not as a conclusion, but as a starting point&mdash;a foundation upon which newer developments, practices, and policies will continue to be built. It is our hope that this book will serve as a valuable resource for researchers, students, library professionals, and technology enthusiasts who seek to understand, analyze, and contribute to the future of digital libraries in a technology-driven world.</span></h2>
<h2><span>We, the editors, are deeply grateful to all contributing authors for their scholarship, commitment, and creativity, as well as to the institutions and communities that have supported this endeavor. We also thank the readers, who through their engagement, discussion, and application, will ultimately give this book its fullest meaning.</span></h2>",2025-08-10,2025-08-17T05:47:54.772549+00:00,,10.5281/zenodo.16888719,cc-by-4.0
Bioinformatics in Plant Biotechnology,"Vishnu Prasad G. T., Maliram Sharma, Abhishek, Ankit Verma","<p><span lang=""EN-IN"">The rise of bioinformatics has fundamentally transformed plant biotechnology, enabling researchers to navigate and interpret the vast and complex datasets produced by high-throughput sequencing and omics technologies. This chapter explores the evolution, tools, and transformative applications of bioinformatics in plant science, emphasizing its role in genomic annotation, trait improvement, stress resistance, and precision agriculture. Key databases such as NCBI, EMBL-EBI and Phytozome provide the foundation for sequence data access and genome comparison, while tools like BLAST, InterProScan, and WGCNA allow in-depth functional and network analyses. The integration of transcriptomic, proteomic, and metabolomic platforms offers deeper insight into gene regulation, protein interaction, and metabolic pathways. Practical applications discussed include genome editing using CRISPR-Cas systems, molecular breeding, and systems-level modeling of complex traits. Despite the immense potential, challenges such as data standardization, computational limitations, and accessibility remain, particularly in under-resourced research environments. However, the convergence of artificial intelligence, cloud computing, and open-access platforms signals a future where bioinformatics becomes increasingly integral to sustainable crop development and digital agriculture. This chapter provides a comprehensive overview of how computational biology is shaping the next generation of crop improvement strategies, fostering resilience, efficiency, and innovation in plant biotechnology</span></p>",2025-07-30,2025-08-29T15:09:37.964735+00:00,"CRISPR-Cas systems, computational biology, NCBI, EMBL-EBI, Phytozome.",10.5281/zenodo.16995118,cc-by-4.0
Analysis of the Diffusion Behavior of an Information and Communication Technology Platform for City Logistics,"Giulio Mangano, Alberto De Marco, Giovanni Zenezini","<p>The concept of City Logistics (CL) has emerged to improve the impacts of last mile freight distribution in urban areas. In this paper, a System Dynamics (SD) model exploring the dynamics of the diffusion of a ICT platform for CL management across different populations is proposed. For the development of the model two sources have been used. On the one hand, the major diffusion variables and feedback loops are derived from a literature review of existing diffusion models. On the other hand, the parameters are represented by the value propositions delivered by the platform as a response to some of the users&rsquo; needs. To extract the most important value propositions the Business Model Canvas approach has been used. Such approach in fact focuses on understanding how a company can create value for her target customers. These variables and parameters are thus translated into a SD diffusion model with three different populations namely municipalities, logistics service providers, and own account carriers. Results show that, the three populations under analysis fully adopt the platform within the simulation time frame, highlighting a strong demand by different stakeholders for CL projects aiming at carrying out more efficient urban logistics operations.</p>",2017-08-01,2024-08-02T21:11:51.064245+00:00,"City logistics, simulation, system dynamics, business model.",10.5281/zenodo.1132335,cc-by-4.0
